Stretch Ratio (-),Analytical Stress (kPa)
0.1,
0.11,-27042.70623488223
0.12,-22898.461616688208
0.13,-20139.850498960142
0.13999999999999999,-18069.190438836784
0.14999999999999997,-16425.99054364165
0.15999999999999998,-15077.044436366185
0.16999999999999998,-13943.268373480449
0.17999999999999997,-12973.34545220685
0.18999999999999995,-12131.93390126252
0.19999999999999996,-11393.62523890079
0.20999999999999996,-10739.545209565014
0.21999999999999995,-10155.305945643178
0.22999999999999995,-9629.705803829444
0.23999999999999994,-9153.868939602962
0.24999999999999992,-8720.656378572017
0.2599999999999999,-8324.251482265752
0.2699999999999999,-7959.861186556567
0.2799999999999999,-7623.496267812019
0.2899999999999999,-7311.806859350804
0.29999999999999993,-7021.957405099796
0.30999999999999994,-6751.530280837246
0.3199999999999999,-6498.450593502371
0.32999999999999985,-6260.926852869135
0.33999999999999986,-6037.4036943372985
0.34999999999999987,-5826.523859549118
0.3599999999999999,-5627.097365353778
0.3699999999999999,-5438.076309048416
0.3799999999999999,-5258.534132795998
0.3899999999999999,-5087.648445296759
0.3999999999999998,-4924.686703070262
0.4099999999999998,-4768.994206972428
0.4199999999999998,-4619.983985700414
0.4299999999999998,-4477.128226833101
0.43999999999999984,-4339.950984428079
0.44999999999999984,-4208.021945419082
0.45999999999999985,-4080.9510787350505
0.46999999999999986,-3958.3840239265446
0.47999999999999976,-3839.9981021706394
0.48999999999999977,-3725.498853358634
0.4999999999999998,-3614.617019706718
0.5099999999999998,-3507.1059098484084
0.5199999999999998,-3402.739088344984
0.5299999999999998,-3301.3083445082416
0.5399999999999998,-3202.621901774991
0.5499999999999998,-3106.5028349222025
0.5599999999999997,-3012.787667415539
0.5699999999999997,-2921.3251253402714
0.5799999999999997,-2831.9750278288175
0.5899999999999997,-2744.607296799506
0.5999999999999998,-2659.101071257414
0.6099999999999998,-2575.3439134612577
0.6199999999999998,-2493.2310959969263
0.6299999999999997,-2412.6649602710536
0.6399999999999997,-2333.5543381914235
0.6499999999999997,-2255.8140298708327
0.6599999999999997,-2179.3643311063556
0.6699999999999997,-2104.1306051715483
0.6799999999999997,-2030.0428941353466
0.6899999999999997,-1957.035565504136
0.6999999999999996,-1885.046990488071
0.7099999999999996,-1814.019250629491
0.7199999999999996,-1743.8978699111835
0.7299999999999996,-1674.6315697926848
0.7399999999999997,-1606.172044911373
0.7499999999999997,-1538.4737574373557
0.7599999999999997,-1471.4937482920031
0.7699999999999997,-1405.1914636342224
0.7799999999999997,-1339.5285951889223
0.7899999999999996,-1274.4689331426655
0.7999999999999996,-1209.9782304641055
0.8099999999999996,-1146.0240776242583
0.8199999999999996,-1082.57578679544
0.8299999999999996,-1019.6042847001166
0.8399999999999996,-957.0820133626936
0.8499999999999996,-894.9828380902975
0.8599999999999995,-833.2819620736022
0.8699999999999996,-771.9558470567147
0.8799999999999996,-710.9821395770784
0.8899999999999996,-650.339602322807
0.8999999999999996,-590.0080501963789
0.9099999999999996,-529.9682907111178
0.9199999999999996,-470.2020683803669
0.9299999999999996,-410.69201278956217
0.9399999999999996,-351.42159006857645
0.9499999999999995,-292.37505750627747
0.9599999999999995,-233.53742107151422
0.9699999999999995,-174.89439562468408
0.9799999999999995,-116.43236762222921
0.9899999999999995,-58.138360132986975
0.9999999999999996,-4.218847493575594e-12
1.0099999999999996,57.99451300476355
1.0199999999999996,115.85643517324814
1.0299999999999996,173.5965061307828
1.0399999999999996,231.2249745011416
1.0499999999999996,288.7516220768617
1.0599999999999996,346.1857865958199
1.0699999999999996,403.5363832175018
1.0799999999999996,460.8119247852277
1.0899999999999996,518.0205409539269
1.0999999999999996,575.169996257484
1.1099999999999997,632.2677071838219
1.1199999999999997,689.3207583210886
1.1299999999999997,746.3359176337428
1.1399999999999997,803.3196509229846
1.1499999999999995,860.2781355222121
1.1599999999999995,917.2172732744742
1.1699999999999995,974.1427028357596
1.1799999999999995,1031.0598113448082
1.1899999999999995,1087.9737454973351
1.1999999999999995,1144.8894220600564
1.2099999999999995,1201.8115378573918
1.2199999999999995,1258.7445792616825
1.2299999999999995,1315.6928312154748
1.2399999999999995,1372.6603858128133
1.2499999999999996,1429.6511504645
1.2599999999999996,1486.6688556707913
1.2699999999999996,1543.7170624234457
1.2799999999999996,1600.7991692576156
1.2899999999999996,1657.918418972866
1.2999999999999994,1715.0779050412934
1.3099999999999994,1772.2805777196722
1.3199999999999994,1829.5292498814308
1.3299999999999994,1886.82660258344
1.3399999999999994,1944.1751903814966
1.3499999999999994,2001.5774464076885
1.3599999999999994,2059.035687221974
1.3699999999999994,2116.552117449626
1.3799999999999994,2174.128834215427
1.3899999999999995,2231.7678313849237
1.3999999999999995,2289.4710036224856
1.4099999999999995,2347.240150275245
1.4199999999999995,2405.0769790915506
1.4299999999999995,2462.983109782082
1.4399999999999995,2520.960077431289
1.4499999999999995,2579.0093357663873
1.4599999999999995,2637.132260290751
1.4699999999999993,2695.3301512881785
1.4799999999999993,2753.6042367041364
1.4899999999999993,2811.9556749097433
1.4999999999999993,2870.3855573539763
1.5099999999999993,2928.8949111092943
1.5199999999999994,2987.4847013155318
1.5299999999999994,3046.1558335267323
1.5399999999999994,3104.9091559653293
1.5499999999999994,3163.745461687817
1.5599999999999994,3222.665490665874
1.5699999999999994,3281.6699317867296
1.5799999999999994,3340.7594247762454
1.5899999999999994,3399.9345620482
1.5999999999999994,3459.1958904828916
1.6099999999999994,3518.543913138189
1.6199999999999992,3577.9790908958403
1.6299999999999992,3637.5018440459235
1.6399999999999992,3697.112553811897
1.6499999999999992,3756.8115638189106
1.6599999999999993,3816.59918150762
1.6699999999999993,3876.4756794958475
1.6799999999999993,3936.4412968901966
1.6899999999999993,3996.4962405496967
1.6999999999999993,4056.6406863034313
1.7099999999999993,4116.874780123981
1.7199999999999993,4177.198639258517
1.7299999999999993,4237.612353319175
1.7399999999999993,4298.115985334381
1.7499999999999993,4358.709572762656
1.7599999999999993,4419.393128470344
1.7699999999999994,4480.1666416747175
1.7799999999999994,4541.030078853787
1.7899999999999991,4601.983384624107
1.7999999999999992,4663.02648258777
1.8099999999999992,4724.159276149826
1.8199999999999992,4785.381649307196
1.8299999999999992,4846.693467410224
1.8399999999999992,4908.094577897801
1.8499999999999992,4969.58481100712
1.8599999999999992,5031.163980458996
1.8699999999999992,5092.831884119633
1.8799999999999992,5154.588304639724
1.8899999999999992,5216.433010071671
1.8999999999999992,5278.365754465826
1.9099999999999993,5340.386278446351
1.9199999999999993,5402.494309767619
1.9299999999999993,5464.689563851685
1.939999999999999,5526.9717443076115
1.949999999999999,5589.340543433269
1.959999999999999,5651.795642700205
1.969999999999999,5714.336713222192
1.979999999999999,5776.963416208043
1.989999999999999,5839.675403399249
1.9999999999999991,5902.472317492906
2.009999999999999,5965.353792550517
2.019999999999999,6028.319454393126
2.029999999999999,6091.36892098321
2.039999999999999,6154.501802793892
2.049999999999999,6217.717703165753
2.059999999999999,6281.01621865183
2.069999999999999,6344.396939351045
2.079999999999999,6407.859449230591
2.089999999999999,6471.403326437529
2.099999999999999,6535.028143600042
2.109999999999999,6598.733468118635
2.119999999999999,6662.51886244766
2.129999999999999,6726.383884367441
2.1399999999999992,6790.328087247356
2.149999999999999,6854.3510203001015
2.1599999999999993,6918.452228827548
2.169999999999999,6982.631254458311
2.1799999999999993,7046.887635377437
2.189999999999999,7111.220906548379
2.199999999999999,7175.630599927562
2.209999999999999,7240.116244671733
2.219999999999999,7304.677367338353
2.229999999999999,7369.31349207929
2.239999999999999,7434.024140827907
2.249999999999999,7498.808833479926
2.259999999999999,7563.667088068112
2.269999999999999,7628.598420931087
2.279999999999999,7693.602346876364
2.289999999999999,7758.678379337875
2.299999999999999,7823.826030528091
2.309999999999999,7889.044811584969
2.319999999999999,7954.334232713806
2.329999999999999,8019.693803324284
2.339999999999999,8085.123032162688
2.3499999999999988,8150.621427439638
2.359999999999999,8216.18849695331
2.3699999999999988,8281.823748208382
2.379999999999999,8347.526688530817
2.389999999999999,8413.296825178591
2.399999999999999,8479.133665448517
2.409999999999999,8545.036716779268
2.419999999999999,8611.005486850743
2.429999999999999,8677.039483679842
2.439999999999999,8743.13821571281
2.449999999999999,8809.301191914237
2.459999999999999,8875.527921852785
2.469999999999999,8941.81791578382
2.479999999999999,9008.170684728952
2.489999999999999,9074.585740552639
2.4999999999999987,9141.062596035936
2.509999999999999,9207.600764947472
2.5199999999999987,9274.19976211169
2.529999999999999,9340.85910347455
2.5399999999999987,9407.578306166664
2.549999999999999,9474.35688856397
2.5599999999999987,9541.194370346055
2.569999999999999,9608.090272552172
2.5799999999999987,9675.044117635
2.589999999999999,9742.055429512282
2.5999999999999988,9809.123733616309
2.609999999999999,9876.24855694143
2.6199999999999988,9943.429428089545
2.629999999999999,10010.6658773137
2.639999999999999,10077.957436559842
2.649999999999999,10145.30363950676
2.659999999999999,10212.704021604271
2.6699999999999986,10280.15812010979
2.679999999999999,10347.66547412316
2.6899999999999986,10415.22562461996
2.699999999999999,10482.838114483287
2.7099999999999986,10550.502488533988
2.719999999999999,10618.218293559521
2.7299999999999986,10685.985078341346
2.739999999999999,10753.802393681011
2.7499999999999987,10821.669792424913
2.759999999999999,10889.586829487755
2.7699999999999987,10957.5530618748
2.779999999999999,11025.568048702937
2.7899999999999987,11093.631351220543
2.799999999999999,11161.74253282627
2.8099999999999987,11229.901159086716
2.819999999999999,11298.106797753067
2.8299999999999987,11366.359018776668
2.8399999999999985,11434.657394323674
2.8499999999999988,11503.001498788703
2.8599999999999985,11571.39090880754
2.8699999999999988,11639.825203269018
2.8799999999999986,11708.303963325941
2.889999999999999,11776.826772405233
2.8999999999999986,11845.393216217224
2.909999999999999,11914.0028827642
2.9199999999999986,11982.655362348123
2.929999999999999,12051.350247577688
2.9399999999999986,12120.087133374582
2.949999999999999,12188.865616979134
2.9599999999999986,12257.68529795522
2.969999999999999,12326.545778194604
2.9799999999999986,12395.446661920543
2.9899999999999984,12464.387555690917
2.9999999999999987,12533.368068400647
3.0099999999999985,12602.387811283646
3.0199999999999987,12671.446397914178
3.0299999999999985,12740.54344420766
3.0399999999999987,12809.678568421035
3.0499999999999985,12878.851391152566
3.0599999999999987,12948.061535341214
3.0699999999999985,13017.308626265523
3.0799999999999987,13086.592291542063
3.0899999999999985,13155.91216112346
3.0999999999999988,13225.267867296014
3.1099999999999985,13294.65904467687
3.1199999999999988,13364.085330210888
3.1299999999999986,13433.546363167048
3.1399999999999983,13503.041785134577
3.1499999999999986,13572.571240018684
3.1599999999999984,13642.13437403595
3.1699999999999986,13711.730835709472
3.1799999999999984,13781.360275863599
3.1899999999999986,13851.022347618447
3.1999999999999984,13920.716706384082
3.2099999999999986,13990.443009854482
3.2199999999999984,14060.200918001128
3.2299999999999986,14129.990093066514
3.2399999999999984,14199.810199557198
3.2499999999999987,14269.660904236816
3.2599999999999985,14339.541876118737
3.2699999999999987,14409.452786458573
3.2799999999999985,14479.393308746437
3.2899999999999987,14549.36311869905
3.2999999999999985,14619.36189425159
3.3099999999999983,14689.38931554945
3.3199999999999985,14759.445064939726
3.3299999999999983,14829.528826962593
3.3399999999999985,14899.640288342529
3.3499999999999983,14969.779137979347
3.3599999999999985,15039.94506693911
3.3699999999999983,15110.137768444893
3.3799999999999986,15180.356937867438
3.3899999999999983,15250.602272715638
3.3999999999999986,15320.873472626952
3.4099999999999984,15391.170239357656
3.4199999999999986,15461.492276773046
3.4299999999999984,15531.839290837477
3.4399999999999986,15602.210989604351
3.4499999999999984,15672.60708320598
3.4599999999999986,15743.0272838434
3.4699999999999984,15813.471305776045
3.479999999999998,15883.93886531144
3.4899999999999984,15954.429680794725
3.4999999999999982,16024.943472598135
3.5099999999999985,16095.479963110492
3.5199999999999982,16166.038876726514
3.5299999999999985,16236.619939836202
3.5399999999999983,16307.22288081404
3.5499999999999985,16377.847430008287
3.5599999999999983,16448.493319730114
3.5699999999999985,16519.16028424275
3.5799999999999983,16589.84805975062
3.5899999999999985,16660.556384388387
3.5999999999999983,16731.284998210016
3.6099999999999985,16802.03364317779
3.6199999999999983,16872.802063151303
3.629999999999998,16943.590003876456
3.6399999999999983,17014.397212974403
3.649999999999998,17085.223439930513
3.6599999999999984,17156.068436083297
3.669999999999998,17226.931954613345
3.6799999999999984,17297.813750532256
3.689999999999998,17368.71358067155
3.6999999999999984,17439.631203671594
3.709999999999998,17510.566379970525
3.7199999999999984,17581.51887179317
3.729999999999998,17652.488443139984
3.7399999999999984,17723.474859776008
3.7499999999999982,17794.477889219757
3.7599999999999985,17865.497300732284
3.7699999999999982,17936.53286530604
3.779999999999998,18007.584355653966
3.7899999999999983,18078.651546198445
3.799999999999998,18149.734213060332
3.8099999999999983,18220.83213404804
3.819999999999998,18291.945088646575
3.8299999999999983,18363.07285800665
3.839999999999998,18434.21522493378
3.8499999999999983,18505.37197387748
3.859999999999998,18576.54289092039
3.8699999999999983,18647.727763767503
3.879999999999998,18718.92638173538
3.8899999999999983,18790.138535741462
3.899999999999998,18861.36401829333
3.9099999999999984,18932.602623478033
3.919999999999998,19003.854146951497
3.9299999999999984,19075.118385927894
3.939999999999998,19146.395139169104
3.949999999999998,19217.684206974187
3.959999999999998,19288.985391168902
3.969999999999998,19360.29849509528
3.979999999999998,19431.62332360121
3.989999999999998,19502.959683030072
